loadout_kind,loadout_id,instance_id,hero_skill_id,quality,source_type,source_id,acquired_day,acquired_seq,catalog_status
starter,hero_mistwake_captain,starter_hero_skill_mist_salvo,hero_skill_mist_salvo,bronze,starting_loadout,hero_mistwake_captain,1,1,formal
starter,hero_mistwake_captain,starter_hero_skill_tailwind_return,hero_skill_tailwind_return,bronze,starting_loadout,hero_mistwake_captain,1,2,formal
ghost_snapshot,ghost_snapshot_day_01,ghost_d01_hero_skill_mist_salvo,hero_skill_mist_salvo,bronze,offline_snapshot,ghost_snapshot_day_01,1,1,formal
ghost_snapshot,ghost_snapshot_day_01,ghost_d01_hero_skill_tailwind_return,hero_skill_tailwind_return,bronze,offline_snapshot,ghost_snapshot_day_01,1,2,formal
ghost_snapshot,ghost_snapshot_day_02,ghost_d02_hero_skill_mist_salvo,hero_skill_mist_salvo,bronze,offline_snapshot,ghost_snapshot_day_02,2,1,formal
ghost_snapshot,ghost_snapshot_day_02,ghost_d02_hero_skill_tailwind_return,hero_skill_tailwind_return,bronze,offline_snapshot,ghost_snapshot_day_02,2,2,formal
ghost_snapshot,ghost_snapshot_day_03,ghost_d03_hero_skill_mist_salvo,hero_skill_mist_salvo,bronze,offline_snapshot,ghost_snapshot_day_03,3,1,formal
ghost_snapshot,ghost_snapshot_day_03,ghost_d03_hero_skill_tailwind_return,hero_skill_tailwind_return,bronze,offline_snapshot,ghost_snapshot_day_03,3,2,formal
ghost_snapshot,ghost_snapshot_day_04,ghost_d04_hero_skill_mist_salvo,hero_skill_mist_salvo,silver,offline_snapshot,ghost_snapshot_day_04,4,1,formal
ghost_snapshot,ghost_snapshot_day_04,ghost_d04_hero_skill_tailwind_return,hero_skill_tailwind_return,silver,offline_snapshot,ghost_snapshot_day_04,4,2,formal
ghost_snapshot,ghost_snapshot_day_05,ghost_d05_hero_skill_mist_salvo,hero_skill_mist_salvo,silver,offline_snapshot,ghost_snapshot_day_05,5,1,formal
ghost_snapshot,ghost_snapshot_day_05,ghost_d05_hero_skill_tailwind_return,hero_skill_tailwind_return,silver,offline_snapshot,ghost_snapshot_day_05,5,2,formal
ghost_snapshot,ghost_snapshot_day_06,ghost_d06_hero_skill_mist_salvo,hero_skill_mist_salvo,silver,offline_snapshot,ghost_snapshot_day_06,6,1,formal
ghost_snapshot,ghost_snapshot_day_06,ghost_d06_hero_skill_tailwind_return,hero_skill_tailwind_return,silver,offline_snapshot,ghost_snapshot_day_06,6,2,formal
ghost_snapshot,ghost_snapshot_day_07,ghost_d07_hero_skill_mist_salvo,hero_skill_mist_salvo,gold,offline_snapshot,ghost_snapshot_day_07,7,1,formal
ghost_snapshot,ghost_snapshot_day_07,ghost_d07_hero_skill_tailwind_return,hero_skill_tailwind_return,gold,offline_snapshot,ghost_snapshot_day_07,7,2,formal
ghost_snapshot,ghost_snapshot_day_08,ghost_d08_hero_skill_mist_salvo,hero_skill_mist_salvo,gold,offline_snapshot,ghost_snapshot_day_08,8,1,formal
ghost_snapshot,ghost_snapshot_day_08,ghost_d08_hero_skill_tailwind_return,hero_skill_tailwind_return,gold,offline_snapshot,ghost_snapshot_day_08,8,2,formal
ghost_snapshot,ghost_snapshot_day_09,ghost_d09_hero_skill_mist_salvo,hero_skill_mist_salvo,gold,offline_snapshot,ghost_snapshot_day_09,9,1,formal
ghost_snapshot,ghost_snapshot_day_09,ghost_d09_hero_skill_tailwind_return,hero_skill_tailwind_return,gold,offline_snapshot,ghost_snapshot_day_09,9,2,formal
ghost_snapshot,ghost_snapshot_day_10,ghost_d10_hero_skill_mist_salvo,hero_skill_mist_salvo,diamond,offline_snapshot,ghost_snapshot_day_10,10,1,formal
ghost_snapshot,ghost_snapshot_day_10,ghost_d10_hero_skill_tailwind_return,hero_skill_tailwind_return,diamond,offline_snapshot,ghost_snapshot_day_10,10,2,formal
