item_id,quality,enchantment_id,scope_id,source_snapshot_id,source_object_id
item_abyss_bell,diamond,enchant_breaker,battle_profile,snapshot_original_pirate_bootstrap_v34,item_abyss_bell
item_abyss_bell,diamond,enchant_reserve,battle_profile,snapshot_original_pirate_bootstrap_v34,item_abyss_bell
item_abyss_bell,diamond,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_abyss_bell
item_abyss_bell,diamond,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_abyss_bell
item_brine_cannon,bronze,enchant_breaker,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,bronze,enchant_reserve,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,bronze,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,bronze,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,silver,enchant_breaker,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,silver,enchant_reserve,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,silver,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,silver,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,gold,enchant_breaker,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,gold,enchant_reserve,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,gold,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,gold,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,diamond,enchant_breaker,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,diamond,enchant_reserve,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,diamond,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_brine_cannon,diamond,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_brine_cannon
item_broadside_signal_relay,bronze,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_broadside_signal_relay
item_broadside_signal_relay,bronze,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_broadside_signal_relay
item_broadside_signal_relay,silver,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_broadside_signal_relay
item_broadside_signal_relay,silver,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_broadside_signal_relay
item_broadside_signal_relay,gold,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_broadside_signal_relay
item_broadside_signal_relay,gold,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_broadside_signal_relay
item_broadside_signal_relay,diamond,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_broadside_signal_relay
item_broadside_signal_relay,diamond,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_broadside_signal_relay
item_crosswind_selector,bronze,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_crosswind_selector
item_crosswind_selector,bronze,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_crosswind_selector
item_crosswind_selector,silver,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_crosswind_selector
item_crosswind_selector,silver,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_crosswind_selector
item_crosswind_selector,gold,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_crosswind_selector
item_crosswind_selector,gold,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_crosswind_selector
item_crosswind_selector,diamond,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_crosswind_selector
item_crosswind_selector,diamond,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_crosswind_selector
item_dawntide_timer,bronze,enchant_breaker,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,bronze,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,bronze,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,silver,enchant_breaker,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,silver,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,silver,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,gold,enchant_breaker,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,gold,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,gold,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,diamond,enchant_breaker,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,diamond,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_dawntide_timer,diamond,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_dawntide_timer
item_emberwake_lantern,bronze,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_emberwake_lantern
item_emberwake_lantern,bronze,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_emberwake_lantern
item_emberwake_lantern,silver,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_emberwake_lantern
item_emberwake_lantern,silver,none,battle_profile,snapshot_original_pirate_bootstrap_v34,item_emberwake_lantern
item_emberwake_lantern,gold,enchant_tailwind,battle_profile,snapshot_original_pirate_bootstrap_v34,item_emberwake_lantern
