source_snapshot_id,source_type,source_uuid
snapshot_vanessa_local_cache_25079259_db8914ab,item,00e3a7ff-af5e-47ce-a2c0-2d4ec31ac7d7
snapshot_vanessa_local_cache_25079259_db8914ab,item,02fa39ce-6cc0-4ad2-bd35-5c70a47354d6
snapshot_vanessa_local_cache_25079259_db8914ab,item,03e4c71d-5317-4c35-a0fb-5348356edc03
snapshot_vanessa_local_cache_25079259_db8914ab,item,096e4b73-803c-4405-9710-db71b20fb183
snapshot_vanessa_local_cache_25079259_db8914ab,item,0abf14a3-8a87-4c87-a7a9-793a3fa3d4db
snapshot_vanessa_local_cache_25079259_db8914ab,item,1312cf29-3dbb-446f-88b2-0d4999e68d78
snapshot_vanessa_local_cache_25079259_db8914ab,item,13f852ba-1d3d-4c1a-b6db-79072e0b19d0
snapshot_vanessa_local_cache_25079259_db8914ab,item,14b297c5-db65-492d-aad7-9ffe101cae5f
snapshot_vanessa_local_cache_25079259_db8914ab,item,16b9413f-c28b-4c45-84a9-4c214cc681fd
snapshot_vanessa_local_cache_25079259_db8914ab,item,17b00db1-57cd-40f1-ac4a-302915939b97
snapshot_vanessa_local_cache_25079259_db8914ab,item,1b955b8d-0ea6-4437-935c-d588be5898c1
snapshot_vanessa_local_cache_25079259_db8914ab,item,1dcc7604-4f84-46e9-bbd1-2456317ec0ed
snapshot_vanessa_local_cache_25079259_db8914ab,item,20d85338-b625-4b9a-95a7-8a60805e061f
snapshot_vanessa_local_cache_25079259_db8914ab,item,214d9c9d-d222-4afa-b63e-ca028c859647
snapshot_vanessa_local_cache_25079259_db8914ab,item,273f7009-d835-49a9-99c9-589fdb7c4593
snapshot_vanessa_local_cache_25079259_db8914ab,item,2834ede9-01e9-4b68-8f1f-70f83187c78f
snapshot_vanessa_local_cache_25079259_db8914ab,item,2a7c377e-5ab7-4e27-bd03-ecaa29b69131
snapshot_vanessa_local_cache_25079259_db8914ab,item,2aab9da1-bfd1-4f3f-8cda-69f3c909158b
snapshot_vanessa_local_cache_25079259_db8914ab,item,2d395818-28b0-46b5-87a8-bf384c846344
snapshot_vanessa_local_cache_25079259_db8914ab,item,2fcdf96f-e1c4-45cd-8efd-0b8352267483
snapshot_vanessa_local_cache_25079259_db8914ab,item,2fd7332d-9033-452a-81e4-151b0c966077
snapshot_vanessa_local_cache_25079259_db8914ab,item,3191df3b-7e7d-4df9-9395-6fffd4207f6d
snapshot_vanessa_local_cache_25079259_db8914ab,item,35355805-5d48-4a42-bb7b-68d240d9a306
snapshot_vanessa_local_cache_25079259_db8914ab,item,35ca6175-1317-4f32-b953-dbe6c9acd8cd
snapshot_vanessa_local_cache_25079259_db8914ab,item,36211e0c-1806-4234-b661-3c05e2625a0a
snapshot_vanessa_local_cache_25079259_db8914ab,item,38c3a468-7e40-4bb7-9140-96b9d59131c8
snapshot_vanessa_local_cache_25079259_db8914ab,item,3af3c836-7224-47bc-bc27-dade6f9d210c
snapshot_vanessa_local_cache_25079259_db8914ab,item,3c9fb662-4088-47f6-a927-0b064154bbbb
snapshot_vanessa_local_cache_25079259_db8914ab,item,3d212e22-12eb-427e-ab96-e7baf1229a7b
snapshot_vanessa_local_cache_25079259_db8914ab,item,3f867017-c026-412d-99f7-67ca26092e7a
snapshot_vanessa_local_cache_25079259_db8914ab,item,40814ac2-ee63-4482-8f3b-d2242750fbd8
snapshot_vanessa_local_cache_25079259_db8914ab,item,42f78ed2-0141-47f3-9bcd-71b433b1273b
snapshot_vanessa_local_cache_25079259_db8914ab,item,430ed105-2d64-4f3b-afd1-73ed0db39217
snapshot_vanessa_local_cache_25079259_db8914ab,item,44710a21-395d-4f78-bdaf-e562c544ae91
snapshot_vanessa_local_cache_25079259_db8914ab,item,44a27d67-3ef2-4a5d-b38e-5d43065ae363
snapshot_vanessa_local_cache_25079259_db8914ab,item,44c8a733-c1ae-4815-88b8-070aaa45037c
snapshot_vanessa_local_cache_25079259_db8914ab,item,46b1261c-a04c-4a35-8a9e-6763a5d85c43
snapshot_vanessa_local_cache_25079259_db8914ab,item,47057461-8cb1-46d2-982c-a7ca6df131c7
snapshot_vanessa_local_cache_25079259_db8914ab,item,477a0159-f7e4-4321-8167-3a7cb797f9ee
snapshot_vanessa_local_cache_25079259_db8914ab,item,47e97343-d790-4ecc-8ccd-d2f7e9949494
snapshot_vanessa_local_cache_25079259_db8914ab,item,4a30e8b0-f1d1-44c0-b2a7-0a8d12c1e297
snapshot_vanessa_local_cache_25079259_db8914ab,item,4caeadbe-7637-4e40-805d-39d4bfc08816
snapshot_vanessa_local_cache_25079259_db8914ab,item,4da45ad1-6793-458c-9c72-d03fa273ebfd
snapshot_vanessa_local_cache_25079259_db8914ab,item,53099361-599f-4c1a-ad4a-d2fbb491b756
snapshot_vanessa_local_cache_25079259_db8914ab,item,54f957f2-9522-486b-a7c6-bb234f74846c
snapshot_vanessa_local_cache_25079259_db8914ab,item,55377bdf-359b-495c-895c-c7852511c915
snapshot_vanessa_local_cache_25079259_db8914ab,item,5abf3441-11cb-4dbd-8d69-d4829f8df687
snapshot_vanessa_local_cache_25079259_db8914ab,item,5b4ff0c0-ca13-4606-9db3-4219d33ab2a0
snapshot_vanessa_local_cache_25079259_db8914ab,item,5e17cfc3-25c0-4a74-8a33-07ee972e6f6e
