package_id,stall_id,refresh_index,offer_id,item_id,quality,enchantment,price,frozen,slot_order,catalog_status
package_mistwake_initial,stall_mistwake,0,offer_initial_signal_flare,item_signal_flare,silver,,6,false,1,formal
package_mistwake_initial,stall_mistwake,0,offer_initial_patchwork_ram,item_patchwork_ram,bronze,,4,false,2,formal
package_mistwake_initial,stall_mistwake,0,offer_initial_reef_hook,item_reef_hook,bronze,,3,false,3,formal
package_mistwake_refresh_1,stall_mistwake,1,offer_refresh_1_wake_echo_drum,item_wake_echo_drum,bronze,,5,false,1,formal
package_mistwake_refresh_1,stall_mistwake,1,offer_refresh_1_quadrant_linkage,item_quadrant_linkage,bronze,,5,false,2,formal
package_mistwake_refresh_1,stall_mistwake,1,offer_refresh_1_mistline_ratchet,item_mistline_ratchet,bronze,,4,false,3,formal
package_mistwake_refresh_2,stall_mistwake,2,offer_refresh_2_saltwind_capstan,item_saltwind_capstan,bronze,,4,false,1,formal
package_mistwake_refresh_2,stall_mistwake,2,offer_refresh_2_followwake_calibrator,item_followwake_calibrator,bronze,,4,false,2,formal
package_mistwake_refresh_2,stall_mistwake,2,offer_refresh_2_reef_hook,item_reef_hook,silver,,5,false,3,formal
package_mistwake_refresh_3,stall_mistwake,3,offer_refresh_3_tidefin_launcher,item_tidefin_launcher,bronze,,3,false,1,formal
package_mistwake_refresh_3,stall_mistwake,3,offer_refresh_3_patchwork_ram,item_patchwork_ram,gold,,10,false,2,formal
package_mistwake_refresh_3,stall_mistwake,3,offer_refresh_3_dawntide_timer,item_dawntide_timer,bronze,,4,false,3,formal
package_mistwake_refresh_4,stall_mistwake,4,offer_refresh_4_wake_echo_drum,item_wake_echo_drum,silver,,8,false,1,formal
package_mistwake_refresh_4,stall_mistwake,4,offer_refresh_4_mistkelp_remedy_kit,item_mistkelp_remedy_kit,bronze,,4,false,2,formal
package_mistwake_refresh_4,stall_mistwake,4,offer_refresh_4_broadside_signal_relay,item_broadside_signal_relay,bronze,,4,false,3,formal
package_mistwake_refresh_5,stall_mistwake,5,offer_refresh_5_saltwind_capstan,item_saltwind_capstan,silver,,7,false,1,formal
package_mistwake_refresh_5,stall_mistwake,5,offer_refresh_5_tidefold_bulwark,item_tidefold_bulwark,bronze,,5,false,2,formal
package_mistwake_refresh_5,stall_mistwake,5,offer_refresh_5_signal_flare,item_signal_flare,diamond,,13,false,3,formal
package_mistwake_refresh_6,stall_mistwake,6,offer_refresh_6_tidefin_launcher,item_tidefin_launcher,silver,,5,false,1,formal
package_mistwake_refresh_6,stall_mistwake,6,offer_refresh_6_homeglow_beacon,item_homeglow_beacon,bronze,,6,false,2,formal
package_mistwake_refresh_6,stall_mistwake,6,offer_refresh_6_storm_compass,item_storm_compass,diamond,,16,false,3,formal
package_mistwake_refresh_7,stall_mistwake,7,offer_refresh_7_wake_echo_drum,item_wake_echo_drum,gold,,12,false,1,formal
package_mistwake_refresh_7,stall_mistwake,7,offer_refresh_7_signal_flare,item_signal_flare,gold,,9,false,2,formal
package_mistwake_refresh_7,stall_mistwake,7,offer_refresh_7_reef_hook,item_reef_hook,silver,,5,false,3,formal
package_mistwake_refresh_8,stall_mistwake,8,offer_refresh_8_saltwind_capstan,item_saltwind_capstan,gold,,10,false,1,formal
package_mistwake_refresh_8,stall_mistwake,8,offer_refresh_8_brine_cannon,item_brine_cannon,silver,,9,false,2,formal
package_mistwake_refresh_8,stall_mistwake,8,offer_refresh_8_abyss_bell,item_abyss_bell,diamond,,20,false,3,formal
package_mistwake_refresh_9,stall_mistwake,9,offer_refresh_9_tidefin_launcher,item_tidefin_launcher,gold,,8,false,1,formal
package_mistwake_refresh_9,stall_mistwake,9,offer_refresh_9_signal_flare,item_signal_flare,silver,,6,false,2,formal
package_mistwake_refresh_9,stall_mistwake,9,offer_refresh_9_reef_hook,item_reef_hook,gold,,8,false,3,formal
package_mistwake_refresh_10,stall_mistwake,10,offer_refresh_10_tidescar_matchlock,item_tidescar_matchlock,bronze,,5,false,1,formal
package_mistwake_refresh_10,stall_mistwake,10,offer_refresh_10_patchwork_ram,item_patchwork_ram,diamond,,14,false,2,formal
package_mistwake_refresh_10,stall_mistwake,10,offer_refresh_10_storm_compass,item_storm_compass,diamond,,16,false,3,formal
